configuration,Recall,Precision,F1
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.1, ""classifier"": ""MLP""}_",0.85,0.9,0.86
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.1, ""classifier"": ""SVM""}_",0.86,0.88,0.86
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""SVM""}_",0.81,0.82,0.81
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""SVM""}_",0.8,0.81,0.8
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""MLP""}_",0.79,0.8,0.79
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.1, ""classifier"": ""SVM""}_",0.78,0.81,0.78
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""SVM""}_",0.79,0.79,0.78
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.1, ""classifier"": ""MLP""}_",0.78,0.79,0.78
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""SVM""}_",0.76,0.77,0.76
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""MLP""}_",0.78,0.78,0.76
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""MLP""}_",0.76,0.76,0.75
"data.jsonpreprocessing_{""data_model"": ""Combined""}_clf_{""test_ratio"": 0.2, ""classifier"": ""KNN""}_",0.77,0.77,0.75
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.30000000000000004, ""classifier"": ""KNN""}_",0.73,0.74,0.72
"data.jsonpreprocessing_{""data_model"": ""WordEmbedding""}_clf_{""test_ratio"": 0.2, ""classifier"": ""GradientBoost""}_",0.73,0.73,0.72
